family,libr,branch,x,y,z,vx,vy,vz,jacobi,period,stability,target_jacobi,jacobi_diff
vertical,1.0,, 8.7833508152573303e-01, 6.9945664893236421e-23,-7.3489957239253569e-12, 3.7533764646319792e-12,-9.5074260822573795e-02,-7.9439988604829637e-01,2.57193728826286,5.972549405954304,193.595473510274,2.5721415481079304,0.00020425984507044248
vertical,1.0,, 8.6221899389004331e-01,-6.1589472580081878e-28,-9.0996038678959414e-14, 1.1168790093094281e-13, 8.8612113504271353e-02,-4.3863065793662631e-01,2.99617593983767,4.0188102048786885,263.734000399635,2.99617593983767,0.0
vertical,2.0,, 1.0607397859062240e+00,-1.7393887466496868e-26, 4.2332120808772832e-14, 1.6187048429903335e-11,-2.1039551912255732e+00, 2.5703533365413955e-03,-1.12659856102396,6.297575547612384,1.00012771197327,-1.12659856102396,0.0
vertical,2.0,, 1.0618219655630960e+00, 4.4675862323327915e-25,-2.5084614785693289e-14,-2.6237044455376899e-14,-1.8929277999009892e+00, 6.2609896061373760e-01,-0.679575995176508,6.293894310953404,13.4444505291441,-0.6794202257674455,0.00015576940906247838
vertical,2.0,, 1.0631843707537985e+00, 6.9564264301699352e-26,-1.1930390789295113e-13,-1.1043480608706935e-13,-1.6819239555323544e+00, 8.3272893660192848e-01,-0.232082798438765,6.289029097426442,33.0145236849711,-0.23224189051093103,0.00015909207216602272
vertical,2.0,, 1.0649085159315832e+00, 2.1329663019065446e-24,-2.9757689424410963e-14,-1.4632831014251787e-13,-1.4716251133304179e+00, 9.5041350361911470e-01,0.214767208260119,6.282368556036245,59.473061209409,0.2149364447455835,0.00016923648546449122
vertical,2.0,, 1.0671298476352802e+00,-5.5753598385684102e-26, 1.3663231306264957e-14,-4.0831805357647299e-14,-1.2616778752865723e+00, 1.0108398799842475e+00,0.662229876418444,6.272755723351332,92.8202184852866,0.6621147800020979,0.00011509641634610546
vertical,2.0,, 1.0700571149074269e+00, 1.2711113041719262e-24, 1.7162269506836368e-15,-2.6389263773279415e-14,-1.0529667597352916e+00, 1.0238472918922135e+00,1.10924584598805,6.257922386107796,132.443930409814,1.1092931152586123,4.7269270562200205e-05
vertical,2.0,, 1.0740778244630562e+00, 1.0281483164767306e-24,-4.5331044060356034e-14, 8.2311284854346118e-14,-8.4586573862029957e-01, 9.9112856032619556e-01,1.55650306724527,6.232528238493248,176.586927918032,1.556471450515127,3.1616730143069205e-05
vertical,2.0,, 1.0799756579633011e+00, 2.5724503107759500e-24,-2.6060385091230666e-15, 1.5339334393168847e-14,-6.4188466812073619e-01, 9.0736743715449752e-01,2.00383590305484,6.181117228622143,219.69289914945,2.003649785771641,0.00018611728319894993
vertical,2.0,, 1.0896785506475888e+00,-4.7864346007180292e-24, 1.5669790144899332e-14,-1.0110995641821049e-14,-4.4474820775337454e-01, 7.5543826434111927e-01,2.45066611835357,6.036565396143824,241.496223118067,2.450828121028156,0.00016200267458588158
vertical,2.0,, 1.1073931895066280e+00, 7.1870348654174879e-23, 4.5475450231117765e-14,-5.4532856949644616e-14,-2.4189177045871293e-01, 4.8766778814351319e-01,2.89800645628467,4.984024246922832,154.378009839461,2.89800645628467,0.0
vertical,3.0,, 1.1781506123023127e+00, 1.0194769557171953e-25, 3.0946434575818366e-06, 5.8288083968532314e-14,-2.1233591297039469e+00, 1.0247000088838623e-18,-1.33308566060321,6.971633013569876,1.00000000001101,-1.33308566060321,0.0
vertical,3.0,, 9.4898506737371513e-01, 6.8407384824568006e-23,-3.7636761536146340e-01, 1.1387790409294684e-12,-1.9433993213539127e+00,-4.6908688444005219e-14,-0.897933964783307,6.413690153291351,1.00689066185048,-0.8980408060454733,0.00010684126216631284
vertical,3.0,, 7.3037537338205460e-01, 1.8159623366923011e-23, 6.7610704161318569e-01,-1.4448233420874679e-11,-1.7312198558643803e+00,-2.4610515793836008e-12,-0.462695531171596,6.288461934076629,1.03000258581755,-0.46299595148773665,0.00030042031614063713
vertical,3.0,, 5.1229440890353373e-01, 1.2531338575447287e-23, 8.5094985402580592e-01,-2.2621476178913117e-10,-1.5138123405919139e+00,-4.1753576260240631e-11,-0.0277223648993501,6.268027500850385,1.10403317735685,-0.027951096929999864,0.00022873203064976283
vertical,3.0,, 2.9429380579650566e-01, 1.4072728364883778e-24, 9.4936261519642606e-01, 4.0072616023525697e-12,-1.2962481383267130e+00, 1.7475901592920408e-12,0.407478948126156,6.260359273662029,1.18104707062213,0.4070937576277367,0.00038519049841928554
vertical,3.0,, 7.6713131070652668e-02,-9.5042838981042802e-24, 9.9240217210495241e-01, 1.5064666314849372e-11,-1.0791191745474809e+00, 6.8598671952690281e-12,0.842315673662491,6.2564131971728445,1.26030223964086,0.8421386121854733,0.0001770614770177925
vertical,3.0,,-1.4050986004813901e-01,-3.8943430300286960e-24, 9.8715508482544989e-01, 1.8915494308674324e-11,-8.6238183277717773e-01, 1.1603237352163252e-11,1.27694851282848,6.254030913101254,1.34154716887229,1.2771834667432103,0.0002349539147301627
vertical,3.0,,-3.5776883570676005e-01, 5.6447037940525639e-24, 9.3274319595299926e-01, 2.8074670747388035e-11,-6.4563842079481415e-01, 2.3052770913783127e-11,1.7121838850815,6.252446036333478,1.4248058154156,1.7122283213009468,4.4436219446719605e-05
vertical,3.0,,-5.7476923399042834e-01,-2.3217337453095354e-24, 8.1952281527086046e-01, 2.3085542474905176e-11,-4.2917631598249223e-01, 2.7128283547526924e-11,2.1474422671801,6.251324232333566,1.5099024133416,2.1472731758586834,0.00016909132141673666
vertical,3.0,,-7.9130666920915449e-01,-3.6153905370569799e-23, 6.1634914945822383e-01, 3.5760936793654774e-11,-2.1319406969319177e-01, 6.5943284888509311e-11,2.58231803041642,6.250494093996609,1.59671533513326,2.58231803041642,0.0
vertical,4.0,, 7.1672909141555352e-01, 4.2544999999999999e-01, 5.5205293022013469e-01, 8.4424548387234732e-01,-1.6119921286320584e+00, 1.3798318047100569e-01,-0.644023208803893,6.3110768063112905,1.00205251740506,-0.644023208803893,0.0
